City Name,Country,Region,CBD Latitude,CBD Longitude,Land CoverT1,Land Cover T2,Land Cover T3,Population T1,Population T2,Population T3,Population Annual Change T2-T3,Area T1 (ha),Area T2 (ha),Area T3 (ha),Area Annual Change T2-T3,Longitude,Latitude
"Springfield, MA",United States,Land-Rich Developed Countries,37.19,-93.293,9/1/1991,9/1/2000,10/1/2014,"303,222","470,384","530,272",0.90%,"9,184","26,790","36,637",2.20%,42.1018764,-72.5886727
"Suining, Sichuan",China,East Asia and the Pacific,30.524,105.564,9/1/1988,7/1/2000,8/1/2013,"57,707","340,355","439,801",2.00%,319,757,"1,940",7.20%,30.5061493,105.574542
Suva,Fiji,East Asia and the Pacific,-18.142,178.441,8/1/1991,10/1/1999,5/1/2014,"25,574","162,385","182,140",0.80%,127,"2,258","2,846",1.60%,-18.1415884,178.4421662
Sydney,Australia,Land-Rich Developed Countries,151.071,-33.798,4/1/1991,2/1/2000,8/1/2014,"2,871,961","3,318,263","4,114,435",1.50%,"69,123","86,548","110,033",1.70%,-33.8698439,151.2082848
"Taipei, Taiwan",China,East Asia and the Pacific,25.047,121.546,7/1/1990,3/1/2001,1/1/2014,"5,541,394","7,266,320","8,591,170",1.30%,"21,852","38,042","70,235",4.80%,25.0375198,121.5636796
"Tangshan, Hebei",China,East Asia and the Pacific,39.648,118.19,9/1/1990,7/1/2000,7/1/2013,"819,328","1,139,998","2,699,870",6.60%,"7,767","12,568","58,221",11.80%,39.6295951,118.1738712
Tashkent,Uzbekistan,South and Central Asia,41.297,69.233,8/1/1990,10/1/1999,9/1/2013,"2,314,220","2,886,114","3,428,914",1.20%,"26,207","52,030","63,449",1.40%,41.3123363,69.2787079
Tebessa ,Algeria,Western Asia and North Africa,35.416,8.108,5/1/1988,6/1/2001,8/1/2014,"100,969","156,741","203,543",2.00%,919,"1,796","2,579",2.70%,35.4035956,8.1212322
Tehran,Iran,South and Central Asia,35.705,51.384,6/1/1991,7/1/2000,6/1/2010,"6,254,309","8,025,064","9,675,929",1.90%,"32,148","47,429","61,367",2.60%,35.6892523,51.3896004
Tel Aviv,Israel,Western Asia and North Africa,32.077,34.839,8/1/1987,5/1/2000,8/1/2014,"967,661","1,953,109","2,774,395",2.50%,"7,304","22,666","33,397",2.70%,32.0852997,34.7818064
Thessaloniki,Greece,Europe and Japan,40.65,22.916,8/1/1990,3/1/2000,9/1/2011,"744,994","828,396","859,431",0.30%,"4,543","6,888","10,568",3.70%,40.6403167,22.9352716
"Tianjin,  Tianjin",China,East Asia and the Pacific,39.142,117.189,10/1/1990,6/1/2000,9/1/2013,"4,335,420","4,723,410","10,056,078",5.70%,"20,124","27,331","152,442",13.00%,39.1175488,117.1913008
Tijuana,Mexico,Latin America and the Caribbean,32.499,-116.97,4/1/1989,4/1/2000,5/1/2014,"605,336","1,156,319","1,706,084",2.80%,"10,753","18,798","28,626",3.00%,32.5317397,-117.019529
Tokyo,Japan,Europe and Japan,35.682,139.649,12/1/1990,9/1/2000,5/1/2014,"29,181,161","31,349,978","34,765,638",0.80%,"278,695","324,835","448,929",2.40%,35.6821936,139.762221
Toledo,United States,Land-Rich Developed Countries,41.655,-83.602,8/1/1990,9/1/2000,6/1/2014,"402,895","458,978","489,974",0.50%,"12,964","21,486","33,057",3.10%,39.8560679,-4.0239568
Tyumen,Russia,Europe and Japan,57.16,65.551,4/1/1990,8/1/1999,9/1/2011,"419,522","464,410","557,794",1.50%,"6,670","9,979","13,171",2.30%,57.153534,65.542274
Ulaanbaatar,Mongolia,East Asia and the Pacific,47.93,106.889,9/1/1990,8/1/2001,6/1/2014,"426,960","633,616","1,070,573",4.10%,"7,269","9,283","15,493",4.00%,47.94093275,106.91795035225584
Valledupar,Colombia,Latin America and the Caribbean,10.464,-73.261,12/1/1989,10/1/2001,2/1/2011,"171,357","263,543","392,935",4.30%,"1,516","2,236","2,688",2.00%,10.4651733,-73.2529512
Victoria,Canada,Land-Rich Developed Countries,48.456,-123.401,8/1/1990,7/1/2000,9/1/2013,"224,424","275,203","318,267",1.10%,"7,219","11,613","13,351",1.10%,-36.5986096,144.6780052
Vienna,Austria,Europe and Japan,48.124,16.346,6/1/1991,9/1/2000,8/1/2013,"1,551,706","1,760,685","2,025,195",1.10%,"17,226","30,978","36,563",1.30%,48.2083537,16.3725042
Vijayawada,India,South and Central Asia,16.515,80.641,11/1/1991,10/1/2000,6/1/2014,"824,159","926,989","1,210,498",2.00%,"2,724","3,874","4,664",1.40%,16.5087573,80.6185089
Vinh Long,Vietnam,Southeast Asia,10.25,105.967,4/1/1989,11/1/2000,1/1/2014,"22,433","67,416","222,220",9.10%,54,373,"3,794",17.60%,10.1203043,106.0125705
Warsaw,Poland,Europe and Japan,52.234,21.024,5/1/1992,8/1/2000,9/1/2013,"1,833,480","2,128,104","2,298,450",0.60%,"21,130","33,864","47,779",2.60%,52.2319581,21.0067249
"Wuhan, Hubei",China,East Asia and the Pacific,30.576,114.295,9/1/1990,9/1/2000,9/1/2013,"2,112,069","4,674,398","8,174,063",4.30%,"17,460","28,916","102,833",9.80%,30.5951051,114.2999353
"Xingping, Shaanxi",China,East Asia and the Pacific,34.308,108.463,7/1/1992,6/1/2000,6/1/2013,"39,458","68,813","193,390",7.90%,271,503,"2,728",13.00%,34.2993736,108.4830556
"Xucheng, Jiangsu",China,East Asia and the Pacific,33.004,118.507,10/1/1990,9/1/2000,8/1/2013,"11,599","60,225","176,753",8.30%,31,383,"3,480",17.10%,33.0004482,118.5112479
Yamaguchi,Japan,Europe and Japan,34.155,131.458,9/1/1990,3/1/1999,5/1/2014,"115,170","241,088","244,194",0.10%,"5,214","10,865","11,841",0.60%,34.2379614,131.5873845
"Yanggu, Shandong",China,East Asia and the Pacific,36.116,115.786,9/1/1990,9/1/2000,4/1/2014,"31,068","53,923","221,306",10.40%,450,"1,151","6,498",12.70%,36.1142991,115.7857865
"Yiyang, Hunan",China,East Asia and the Pacific,28.587,112.356,7/1/1994,9/1/1999,10/1/2013,"274,739","315,559","412,685",1.90%,"1,751","3,988","9,951",6.50%,28.5562003,112.3497606
"Yucheng, Zhejiang",China,East Asia and the Pacific,28.125,121.247,12/1/1990,1/1/2000,12/1/2014,"60,050","142,977","485,305",8.20%,"1,158","2,888","9,112",7.70%,30.5338455,120.8507819
"Yulin, Guangxi",China,East Asia and the Pacific,22.611,110.139,10/1/1991,10/1/2000,1/1/2009,"250,302","345,816","633,381",7.30%,"1,287","3,871","10,753",12.40%,22.6570263,110.1765019
"Zhengzhou, Henan",China,East Asia and the Pacific,34.756,113.637,10/1/1992,8/1/2000,9/1/2015,"1,256,956","2,012,209","7,156,619",8.40%,"12,742","25,588","137,261",11.10%,34.7533392,113.6599983
"Zhuji, Zhejiang",China,East Asia and the Pacific,29.725,120.237,6/1/1990,5/1/2000,4/1/2013,"367,695","695,581","979,670",2.70%,"11,970","29,130","43,826",3.20%,29.7296617,120.1805427
"Zunyi, Guizhou",China,East Asia and the Pacific,27.696,106.925,6/1/1988,4/1/2001,12/1/2013,"24,968","501,484","534,107",0.50%,89,"1,788","5,569",9.00%,27.7254142,107.0269573
Zwolle,Netherlands,Europe and Japan,52.513,6.09,4/1/1990,5/1/2000,3/1/2014,"79,950","92,139","108,237",1.20%,"2,253","2,764","3,197",1.10%,52.514565250000004,6.097720359677693
